Unique.ID,Radar Stations,X,Y,X.Lon,Y.Lat,X.75.N,Y.75.N,X.75.S,Y.75.S,X.75.E,Y.75.E,X.75.W,Y.75.W,X.150.N,Y.150.N,X.150.S,Y.150.S,X.150.E,Y.150.E,X.150.W,Y.150.W
34,KABR,-179567.716,2562157.763,-98.3160075245183,46.0280146270884,-179567.716,2637157.763,-179567.716,2487157.763,-104567.716,2562157.763,-254567.716,2562157.763,-179567.716,2712157.763,-179567.716,2412157.763,-29567.716,2562157.763,-329567.716,2562157.763
35,KABR,-253637.891,2529566.886,-99.2563023555868,45.7150554422615,-253637.891,2604566.886,-253637.891,2454566.886,-178637.891,2529566.886,-328637.891,2529566.886,-253637.891,2679566.886,-253637.891,2379566.886,-103637.891,2529566.886,-403637.891,2529566.886
36,KABR,-200307.365,2576971.798,-98.5885788743418,46.1566505037033,-200307.365,2651971.798,-200307.365,2501971.798,-125307.365,2576971.798,-275307.365,2576971.798,-200307.365,2726971.798,-200307.365,2426971.798,-50307.365,2576971.798,-350307.365,2576971.798
37,KABR,-229935.435,2482161.974,-98.9334255007146,45.2956904819844,-229935.435,2557161.974,-229935.435,2407161.974,-154935.435,2482161.974,-304935.435,2482161.974,-229935.435,2632161.974,-229935.435,2332161.974,-79935.435,2482161.974,-379935.435,2482161.974
38,KABR,-188456.137,2535492.5,-98.4218363360941,45.785912749581,-188456.137,2610492.5,-188456.137,2460492.5,-113456.137,2535492.5,-263456.137,2535492.5,-188456.137,2685492.5,-188456.137,2385492.5,-38456.137,2535492.5,-338456.137,2535492.5
39,KABR,-209195.786,2455496.711,-98.659465281645,45.0615502001318,-209195.786,2530496.711,-209195.786,2380496.711,-134195.786,2455496.711,-284195.786,2455496.711,-209195.786,2605496.711,-209195.786,2305496.711,-59195.786,2455496.711,-359195.786,2455496.711
40,KABR,-144014.032,2452533.904,-97.8303483381052,45.0487662203441,-144014.032,2527533.904,-144014.032,2377533.904,-69014.032,2452533.904,-219014.032,2452533.904,-144014.032,2602533.904,-144014.032,2302533.904,5985.968,2452533.904,-294014.032,2452533.904
41,KABR,-114385.962,2496976.009,-97.4625488206931,45.452943064181,-114385.962,2571976.009,-114385.962,2421976.009,-39385.962,2496976.009,-189385.962,2496976.009,-114385.962,2646976.009,-114385.962,2346976.009,35614.038,2496976.009,-264385.962,2496976.009
42,KABR,-152902.453,2568083.377,-97.9737819440973,46.0868195810885,-152902.453,2643083.377,-152902.453,2493083.377,-77902.453,2568083.377,-227902.453,2568083.377,-152902.453,2718083.377,-152902.453,2418083.377,-2902.453,2568083.377,-302902.453,2568083.377
43,KABR,-197344.558,2514752.851,-98.528917194228,45.597193158792,-197344.558,2589752.851,-197344.558,2439752.851,-122344.558,2514752.851,-272344.558,2514752.851,-197344.558,2664752.851,-197344.558,2364752.851,-47344.558,2514752.851,-347344.558,2514752.851
44,KABR,-114385.962,2517715.658,-97.4666409855838,45.6395489452223,-114385.962,2592715.658,-114385.962,2442715.658,-39385.962,2517715.658,-189385.962,2517715.658,-114385.962,2667715.658,-114385.962,2367715.658,35614.038,2517715.658,-264385.962,2517715.658
45,KABR,-176604.909,2565120.57,-98.2787250524321,46.0553488538578,-176604.909,2640120.57,-176604.909,2490120.57,-101604.909,2565120.57,-251604.909,2565120.57,-176604.909,2715120.57,-176604.909,2415120.57,-26604.909,2565120.57,-326604.909,2565120.57
